"bluestock_fintech_—_nifty_100__|__balance_sheet__|__1,312_records",year_label,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,fiscal_year
195.0,ADANIGREEN,0.0,1564.0,793.0,14866.0,1201.0,18424.0,12554.0,1208.0,476.0,4186.0,18424.0,0
196.0,ADANIGREEN,0.0,1564.0,636.0,24209.0,2283.0,28692.0,16429.0,4452.0,502.0,7309.0,28692.0,0
197.0,ADANIGREEN,0.0,1564.0,1050.0,52832.0,3508.0,58954.0,28452.0,19999.0,574.0,10029.0,58954.0,0
198.0,ADANIGREEN,0.0,1584.0,5720.0,54223.0,5382.0,66909.0,48336.0,5291.0,1149.0,12133.0,66909.0,0
199.0,ADANIGREEN,0.0,1584.0,8250.0,64858.0,13394.0,88086.0,62284.0,6427.0,1515.0,17860.0,88086.0,0
200.0,ADANIGREEN,0.0,1584.0,8992.0,67430.0,20252.0,98258.0,64632.0,14617.0,2331.0,16678.0,98258.0,0
201.0,ADANIPORTS,0.0,401.0,5993.0,11620.0,3022.0,21035.0,11382.0,2951.0,222.0,6480.0,21035.0,0
202.0,ADANIPORTS,0.0,414.0,8351.0,12979.0,2933.0,24677.0,13163.0,2025.0,63.0,9426.0,24677.0,0
203.0,ADANIPORTS,0.0,414.0,10351.0,17776.0,3541.0,32082.0,20527.0,1276.0,260.0,10020.0,32082.0,0
204.0,ADANIPORTS,0.0,414.0,13091.0,22342.0,2538.0,38385.0,20883.0,1967.0,545.0,14990.0,38385.0,0
205.0,ADANIPORTS,0.0,414.0,17112.0,22214.0,3629.0,43369.0,21054.0,4514.0,1161.0,16641.0,43369.0,0
206.0,ADANIPORTS,0.0,414.0,20489.0,22370.0,3960.0,47233.0,22670.0,4545.0,1079.0,18938.0,47233.0,0
207.0,ADANIPORTS,0.0,414.0,23958.0,27712.0,4228.0,56311.0,28121.0,4483.0,782.0,22924.0,56311.0,0
208.0,ADANIPORTS,0.0,406.0,25051.0,30242.0,6217.0,61917.0,32715.0,3216.0,1178.0,24808.0,61917.0,0
209.0,ADANIPORTS,0.0,406.0,30035.0,35855.0,8285.0,74582.0,48291.0,3697.0,2236.0,20358.0,74582.0,0
210.0,ADANIPORTS,0.0,422.0,41399.0,47935.0,8572.0,98328.0,62553.0,4023.0,3161.0,28591.0,98328.0,0
211.0,ADANIPORTS,0.0,432.0,44957.0,53434.0,13740.0,112563.0,72224.0,6637.0,7432.0,26271.0,112563.0,0
212.0,ADANIPORTS,0.0,432.0,52346.0,49470.0,14751.0,116999.0,75148.0,10936.0,4289.0,26627.0,116999.0,0
213.0,ADANIPORTS,0.0,432.0,56744.0,50485.0,18354.0,126015.0,79136.0,13328.0,4489.0,29062.0,126015.0,0
214.0,ADANIPOWER,0.0,2393.0,1900.0,41795.0,8599.0,54688.0,29089.0,18976.0,22.0,6600.0,54688.0,0
215.0,ADANIPOWER,0.0,2872.0,3671.0,44150.0,8045.0,58739.0,46365.0,3660.0,115.0,8599.0,58739.0,0
216.0,ADANIPOWER,0.0,2872.0,2853.0,44742.0,8008.0,58474.0,45080.0,191.0,357.0,12846.0,58474.0,0
217.0,ADANIPOWER,0.0,3334.0,4134.0,52729.0,15597.0,75794.0,56941.0,88.0,0.0,18765.0,75794.0,0
218.0,ADANIPOWER,0.0,3857.0,-857.0,52484.0,16027.0,71511.0,54391.0,125.0,164.0,16831.0,71511.0,0
219.0,ADANIPOWER,0.0,3857.0,-2968.0,52835.0,15804.0,69528.0,52137.0,120.0,0.0,17271.0,69528.0,0
220.0,ADANIPOWER,0.0,3857.0,3855.0,46980.0,13293.0,67985.0,50419.0,350.0,3.0,17213.0,67985.0,0
221.0,ADANIPOWER,0.0,3857.0,2624.0,55199.0,13346.0,75025.0,55846.0,2347.0,3.0,16830.0,75025.0,0
222.0,ADANIPOWER,0.0,3857.0,9256.0,52519.0,13175.0,78806.0,52851.0,6439.0,20.0,19495.0,78806.0,0
