"bluestock_fintech_—_nifty_100__|__cash_flow__|__1,187_records",year_label,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,fiscal_year
122.0,ADANIPORTS,0.0,7402.0,-749.0,-4256.0,2397.0,0
123.0,ADANIPORTS,0.0,7556.0,-14064.0,3514.0,-2994.0,0
124.0,ADANIPORTS,0.0,10420.0,-5493.0,-586.0,4341.0,0
125.0,ADANIPORTS,0.0,11900.0,-16716.0,-2734.0,-7550.0,0
126.0,ADANIPORTS,0.0,15018.0,-6768.0,-7800.0,450.0,0
127.0,ADANIPOWER,0.0,3001.0,-4064.0,861.0,-203.0,0
128.0,ADANIPOWER,0.0,3238.0,-4700.0,1631.0,169.0,0
129.0,ADANIPOWER,0.0,5824.0,-4737.0,-1144.0,-58.0,0
130.0,ADANIPOWER,0.0,5257.0,-2692.0,-2713.0,-148.0,0
131.0,ADANIPOWER,0.0,4725.0,-1212.0,-3539.0,-26.0,0
132.0,ADANIPOWER,0.0,5101.0,-520.0,-4600.0,-19.0,0
133.0,ADANIPOWER,0.0,5610.0,-984.0,-4663.0,-37.0,0
134.0,ADANIPOWER,0.0,5598.0,-2304.0,-2377.0,917.0,0
135.0,ADANIPOWER,0.0,7014.0,-2188.0,-5655.0,-828.0,0
136.0,ADANIPOWER,0.0,10233.0,774.0,-10338.0,669.0,0
137.0,ADANIPOWER,0.0,8431.0,1545.0,-10408.0,-433.0,0
138.0,ADANIPOWER,0.0,14170.0,3481.0,-16864.0,787.0,0
139.0,AMBUJACEM,0.0,1860.0,-388.0,-509.0,962.0,0
140.0,AMBUJACEM,0.0,1267.0,-496.0,-672.0,99.0,0
141.0,AMBUJACEM,0.0,1675.0,-456.0,-721.0,498.0,0
142.0,AMBUJACEM,0.0,1557.0,-83.0,-900.0,574.0,0
143.0,AMBUJACEM,0.0,2810.0,-4165.0,-958.0,-2312.0,0
144.0,AMBUJACEM,0.0,3416.0,-738.0,-1015.0,1663.0,0
145.0,AMBUJACEM,0.0,1703.0,-765.0,-719.0,220.0,0
146.0,AMBUJACEM,0.0,4739.0,-1191.0,-629.0,2919.0,0
147.0,AMBUJACEM,0.0,4832.0,-1317.0,-3956.0,-441.0,0
148.0,AMBUJACEM,0.0,5309.0,-2007.0,-516.0,2786.0,0
149.0,AMBUJACEM,0.0,735.0,-14481.0,2931.0,-10815.0,0
150.0,AMBUJACEM,0.0,5646.0,-8941.0,5689.0,2394.0,0
151.0,APOLLOHOSP,0.0,443.0,-733.0,373.0,83.0,0
152.0,APOLLOHOSP,0.0,373.0,-356.0,-63.0,-46.0,0
153.0,APOLLOHOSP,0.0,470.0,-759.0,392.0,103.0,0
154.0,APOLLOHOSP,0.0,597.0,-888.0,330.0,39.0,0
155.0,APOLLOHOSP,0.0,623.0,-1152.0,477.0,-52.0,0
156.0,APOLLOHOSP,0.0,537.0,-405.0,-108.0,24.0,0
157.0,APOLLOHOSP,0.0,905.0,-711.0,-215.0,-20.0,0
158.0,APOLLOHOSP,0.0,1293.0,-289.0,-910.0,94.0,0
159.0,APOLLOHOSP,0.0,1265.0,-880.0,-340.0,44.0,0
160.0,APOLLOHOSP,0.0,1696.0,-747.0,-792.0,158.0,0
161.0,APOLLOHOSP,0.0,1377.0,-857.0,-633.0,-113.0,0
162.0,APOLLOHOSP,0.0,1920.0,-1537.0,-311.0,72.0,0
163.0,ASIANPAINT,0.0,1187.0,-463.0,-601.0,123.0,0
164.0,ASIANPAINT,0.0,1402.0,-586.0,-626.0,190.0,0
165.0,ASIANPAINT,0.0,1188.0,-465.0,-576.0,147.0,0
166.0,ASIANPAINT,0.0,2243.0,-866.0,-849.0,528.0,0
167.0,ASIANPAINT,0.0,1527.0,-681.0,-756.0,90.0,0
168.0,ASIANPAINT,0.0,2113.0,-1556.0,-1379.0,-822.0,0
169.0,ASIANPAINT,0.0,2470.0,-918.0,-1117.0,434.0,0
170.0,ASIANPAINT,0.0,3038.0,-518.0,-2871.0,-351.0,0
171.0,ASIANPAINT,0.0,3683.0,-541.0,-650.0,2492.0,0
172.0,ASIANPAINT,0.0,986.0,-317.0,-1808.0,-1138.0,0
173.0,ASIANPAINT,0.0,4193.0,-1282.0,-2140.0,771.0,0
174.0,ASIANPAINT,0.0,6104.0,-2548.0,-2982.0,573.0,0
189.0,AGTL,0.0,277.0,-988.0,779.0,68.0,0
190.0,AGTL,0.0,356.0,791.0,-1077.0,70.0,0
191.0,AGTL,0.0,492.0,-461.0,-102.0,-71.0,0
192.0,AGTL,0.0,654.0,-770.0,39.0,-78.0,0
193.0,AGTL,0.0,732.0,-1133.0,422.0,21.0,0
194.0,AGTL,0.0,853.0,-1167.0,295.0,-19.0,0
195.0,AGTL,0.0,955.0,-752.0,-78.0,125.0,0
196.0,AXISBANK,0.0,2573.0,-10939.0,14931.0,6566.0,0
197.0,AXISBANK,0.0,14464.0,-14166.0,7785.0,8082.0,0
198.0,AXISBANK,0.0,-15162.0,-7972.0,31045.0,7910.0,0
199.0,AXISBANK,0.0,-34495.0,9211.0,22495.0,-2789.0,0
200.0,AXISBANK,0.0,32209.0,-12458.0,-2487.0,17263.0,0
201.0,AXISBANK,0.0,-38390.0,-10007.0,41342.0,-7055.0,0
202.0,AXISBANK,0.0,37125.0,-18674.0,5643.0,24094.0,0
203.0,AXISBANK,0.0,30416.0,-9485.0,8865.0,29795.0,0
204.0,AXISBANK,0.0,12633.0,-54288.0,7279.0,-34375.0,0
205.0,AXISBANK,0.0,28137.0,-27112.0,47894.0,48919.0,0
206.0,AXISBANK,0.0,22075.0,-32351.0,6641.0,-3636.0,0
