"bluestock_fintech_—_nifty_100__|__profit_&_loss__|__1,276_records",year_label,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,unnamed:_14,fiscal_year
110.0,ADANIENT,0.0,102311.0,88418.0,13893.0,14.0,1489.0,4150.0,3541.0,7691.0,0.0,6086.0,49.0,0.0,0
111.0,ADANIGREEN,0.0,502.0,98.0,403.0,80.0,80.0,334.0,333.0,-184.0,-75.0,-47.0,0.0,0.0,0
112.0,ADANIGREEN,0.0,1480.0,637.0,843.0,57.0,42.0,552.0,543.0,-210.0,-35.0,-138.0,-1.0,0.0,0
113.0,ADANIGREEN,0.0,2058.0,532.0,1526.0,74.0,73.0,1121.0,1062.0,-585.0,-19.0,-475.0,-3.0,0.0,0
114.0,ADANIGREEN,0.0,2549.0,1098.0,1450.0,57.0,-111.0,995.0,394.0,-50.0,23.0,-68.0,0.0,0.0,0
115.0,ADANIGREEN,0.0,3124.0,883.0,2241.0,72.0,391.0,1953.0,486.0,193.0,6.0,182.0,1.0,0.0,0
116.0,ADANIGREEN,0.0,5133.0,1621.0,3512.0,68.0,507.0,2617.0,849.0,553.0,12.0,489.0,3.0,0.0,0
117.0,ADANIGREEN,0.0,7776.0,2806.0,4970.0,64.0,667.0,2911.0,1300.0,1426.0,32.0,973.0,6.0,0.0,0
118.0,ADANIGREEN,0.0,9220.0,1902.0,7318.0,79.0,1262.0,5006.0,1903.0,1671.0,25.0,1260.0,7.0,0.0,0
119.0,ADANIGREEN,0.0,10782.0,2682.0,8100.0,75.0,891.0,4959.0,2323.0,1709.0,0.0,1928.0,9.0,0.0,0
120.0,ADANIPORTS,0.0,3577.0,1195.0,2382.0,67.0,344.0,542.0,422.0,1762.0,7.0,1639.0,8.0,12.0,0
121.0,ADANIPORTS,0.0,4830.0,1910.0,2919.0,60.0,685.0,977.0,649.0,1978.0,12.0,1741.0,8.0,12.0,0
